"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1510,"Diogo Fonseca",90.1999969,0,"","PT",1715,6.0,10,18,27,2,113,11,1,209,0,5.0,1055759
1511,"Chandramauli Anandan",90.0,0,"","MY",1771,3.0,6,7,63,5,37,11,1,99,4,3.0,1167242
1512,"Zed Mckenna",90.0,0,"","AU",1618,1.0,3,3,34,3,15,11,1,44,2,4.0,1368981
1513,"Jose Antonio Yañez Buron",90.0,0,"","ES",1448,6.0,2,6,34,2,23,6,1,88,1,3.0,177279
1514,"Salvatore D'Angela",90.0,0,"","IT",1460,7.0,2,4,30,2,1,6,1,30,2,7.0,1302343
1515,"Yutong Wang",90.0,0,"","CN",1712,3.0,3,3,19,1,8,6,1,45,2,2.0,992404
1516,"Kevin Collison",90.0,0,"","US",1078,3.0,3,3,7,1,11,10,2,29,0,4.0,1154511
1517,"Luca Palumbo2",90.0,0,"","IT",1887,4.0,3,4,22,1,29,11,1,58,1,4.0,1376271
1518,"Sebastien Daillet",90.0,0,"","FR",1476,6.0,3,5,9,1,29,6,2,31,0,7.0,1379749
1519,"Colin Cornelius",90.0,0,"","US",1186,6.0,2,4,4,1,42,11,2,38,0,4.0,767726
1520,"Teppatad Mannusit",90.0,0,"","TH",862,8.0,2,11,2,1,80,11,2,50,1,8.0,1396682
1521,"Lauty Po",90.0,0,"","AR",1562,4.0,1,2,6,1,14,6,1,18,0,3.0,1171987
1522,"Adam Jr. Blaska",90.0,0,"","PL",1534,8.0,1,3,8,1,14,8,1,10,0,6.0,1166439
1523,"Thiago Castro5",90.0,0,"","AR",954,6.0,5,13,1,0,109,11,2,125,1,6.0,1382081
1524,"Paul Matthews7",90.0,0,"","NZ",1166,3.0,4,4,0,0,35,11,2,50,1,4.0,1335228
1525,"Luis Verdecia2",90.0,0,"","US",1846,6.0,4,8,0,0,21,5,1,63,0,7.0,1372334
1526,"James Miller43",90.0,0,"","GB",952,7.0,4,12,6,0,49,11,2,47,1,7.0,1398225
1527,"Thomas Stack",90.0,0,"","CA",1137,5.0,3,3,0,0,22,9,2,36,0,6.0,1148725
1528,"Jensen Fennymore",90.0,0,"","ENG",1950,6.0,3,4,0,0,17,4,1,45,0,9.0,1353421
1529,"Tyler Capra3",90.0,0,"","US",1720,3.0,2,2,13,0,7,11,1,30,1,5.0,1302142
1530,"Max Bryant2",90.0,0,"","US",1693,5.0,2,3,0,0,5,6,1,43,0,11.0,524488
1531,"Vincent Kearns",90.0,0,"","IE",1514,5.0,2,3,4,0,15,7,2,32,0,3.0,1287959
1532,"Jesus Suarez2",90.0,0,"","MX",1108,7.0,2,7,0,0,79,11,2,61,0,6.0,1348461
1533,"Karanjit Singh2",90.0,0,"","GB",1104,8.0,2,6,0,0,79,11,2,45,0,8.0,1382493
